Kuupaev,temperatuur,niiskus,valgus,pNiiskus,taimeKorgus
2019-05-03 14:17:42,24.6,21.7,2116,566,11
2019-05-03 14:17:51,24.7,21.8,2141,566,11
2019-05-03 14:18:00,24.6,21.7,2172,566,11
2019-05-03 14:18:09,24.6,21.7,2172,569,11
2019-05-03 14:18:18,24.6,21.7,2156,569,11
2019-05-03 14:18:27,24.7,21.8,2181,566,11
2019-05-03 14:18:36,24.7,21.7,2237,569,11
2019-05-03 14:18:44,24.7,21.7,2252,565,11
2019-05-03 14:18:53,24.7,21.7,2252,566,11
2019-05-03 14:19:02,24.7,21.7,2187,566,11
2019-05-03 14:19:11,24.7,21.7,2267,569,11
2019-05-03 14:19:20,24.7,21.8,2317,566,11
2019-05-03 14:19:29,24.7,21.8,2332,566,11
2019-05-03 14:19:38,24.7,21.8,2357,566,11
2019-05-03 14:19:47,24.7,21.8,2382,566,11
2019-05-03 14:19:56,24.7,21.8,2428,566,11
2019-05-03 14:20:05,24.7,21.8,2413,565,11
2019-05-03 14:20:13,24.7,21.8,2388,566,11
2019-05-03 14:20:22,24.7,21.8,2388,570,11
2019-05-03 14:20:31,24.7,21.8,2418,566,11
2019-05-03 14:20:40,24.7,21.8,2453,566,11
2019-05-03 14:20:49,24.7,21.8,2493,566,11
2019-05-03 14:20:58,24.7,21.8,2518,566,11
2019-05-03 14:21:10,24.7,21.8,2549,570,11
2019-05-03 14:21:26,24.7,21.7,2534,566,12
2019-05-03 14:21:35,24.7,21.7,2534,566,11
2019-05-03 14:21:44,24.6,21.7,2518,566,11
2019-05-03 14:21:53,24.6,21.7,2579,566,11
2019-05-03 14:22:02,24.6,21.8,2589,566,11
2019-05-03 14:22:11,24.7,21.8,2589,570,11
2019-05-03 14:22:19,24.6,21.7,2549,566,11
2019-05-03 14:22:28,24.6,21.7,2559,566,11
2019-05-03 14:22:37,24.7,21.7,2574,566,11
2019-05-03 14:22:46,24.7,21.7,2534,566,11
2019-05-03 14:22:55,24.6,21.7,2564,566,12
2019-05-03 14:23:04,24.6,21.7,2559,566,11
2019-05-03 14:23:13,24.6,21.7,2589,566,11
2019-05-03 14:23:22,24.6,21.7,2614,566,11
