date,score
2019/04/12 01:14:40,0.61
2019/04/12 01:15:37,0.599
2019/04/12 01:17:17,0.681
2019/04/12 01:17:26,0.459
2019/04/12 01:22:55,0.574
2019/04/12 01:23:10,0.496
2019/04/12 01:23:42,0.553
2019/04/12 01:24:00,1.237
2019/04/12 01:24:37,0.987
2019/04/12 01:24:48,1.069
2019/04/12 01:25:13,1.072
2019/04/12 01:26:35,1.265
2019/04/12 01:26:54,1.522
2019/04/12 01:27:34,1.664
2019/04/12 01:28:03,1.556
2019/04/12 01:28:53,1.269
2019/04/12 01:29:32,1.527
2019/04/12 01:30:06,1.223
2019/04/12 01:30:52,4.074
2019/04/12 01:32:36,1.642
2019/04/12 01:33:25,1.252
2019/04/12 01:33:40,1.53
2019/04/12 01:34:30,1.483
2019/04/12 02:15:24,0.885
2019/04/13 02:55:36,1.882
2019/04/13 02:56:16,1.517
2019/04/13 02:58:26,1.121
2019/04/15 05:45:06,2.121
2019/04/15 06:48:01,3.258
2019/04/18 07:06:15,0.987
2019/04/18 08:07:18,0.998
2019/04/20 11:14:37,1.241
2019/04/23 10:21:15,0.779
2019/04/23 11:19:02,1.562
2019/04/23 11:20:36,0.610
2019/04/25 12:30:16,0.810
